wid,txtid,inv_nr,cth_number,lnr,trans,text,text_tags,text_clean,subscr,matlect,num,sign,corr,deleted,added,ras,rasx,gap,note,link,mrp0sel,combined,,,,,,,,,
12,KBo 66.201,,832,4′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.201,,832,5′,,,"<space c=""35""/>",***********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.201,,832,5′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.201,,832,5′,ešzi,e-eš-z,e-eš-z<del_in/>i,e-eš-z[i,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' eš- @ sitzen @ 3SG.PRS @ I.1.1.1 @ ', 'mrp2': ' eš- @ sein @ 3SG.PRS @ I.2.3 @ ', 'mrp3': ' ešz=i- @ (u.B.) @    { a → D/L.SG}   { b → STF} @ 2.1.1 @ '}",,,,,,,,,
16,KBo 66.201,,832,6′,,,"<space c=""36""/>",************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.201,,832,6′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.201,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.201,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
20,KBo 66.201,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
21,KBo 66.201,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
22,KBo 66.201,,832,6′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
23,KBo 66.201,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 68.307,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 68.307,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
2,KBo 68.307,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
3,KBo 68.307,,832,2′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
4,KBo 68.307,,832,2′,,x-at-kán,x-at-kán,x-at-kán,,,,,,,,,,,,,DEL,{},,,,,,,,,
5,KBo 68.307,,832,2′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
6,KBo 68.307,,832,3′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
7,KBo 68.307,,832,3′,,x-da,x-da,x-da,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 68.307,,832,3′,aran~,a-ra-an-,a-ra-an-<del_in/>,a-ra-an-[,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 68.307,,832,4′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
10,KBo 68.307,,832,4′,,x-an,x-an,x-an,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 68.307,,832,4′,arḫa,ar-ḫa,ar-ḫa,ar-ḫa,,,,,,,,,,,,,  ,"{'mrp1': ' ar= @ stehen @ 1SG.PRS.MP @ III.1 @ ', 'mrp2': ' arḫa @ weg @  @ ADV @ ', 'mrp3': ' arḫa @ von… weg @  @ POSP @ ', 'mrp4': ' arḫa @ weg- @  @ PREV @ ', 'mrp5': ' arḫ=a- @ Grenze @    { a → NOM.COLL.C}   { b → ACC.COLL.C} @ 1.1 @ ', 'mrp6': ' arḫ=a- @ Grenze @    { a → VOC.SG}   { b → ALL}   { c → STF} @ 1.1 @ '}",,,,,,,,,
12,KBo 68.307,,832,4′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
13,KBo 68.307,,832,5′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
14,KBo 68.307,,832,5′,,x-ni-ma-an-kán,x-ni-ma-an-kán,x-ni-ma-an-kán,,,,,,,,,,,,,DEL,{},,,,,,,,,
15,KBo 68.307,,832,5′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
16,KBo 68.307,,832,6′,~ḫa,-ḫ,"-ḫ<del_fin/>a<corr c=""?""/>",-ḫ]a,,,,,"ḫ]a<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
17,KBo 68.307,,832,6′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
18,KBo 68.307,,832,7′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
19,KBo 68.307,,832,7′,,x x,x x,x x,,,,,,,,,,,,,DEL,{},,,,,,,,,
20,KBo 68.307,,832,7′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
21,KBo 68.307,,832,7′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
22,KBo 68.307,,832,7′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
23,KBo 68.307,,832,7′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
24,KBo 68.307,,832,7′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
25,KBo 68.307,,832,7′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
26,KBo 68.307,,832,7′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
27,KBo 68.307,,832,7′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
28,KBo 68.307,,832,7′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
29,KBo 68.307,,832,7′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
30,KBo 68.307,,832,7′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 63.215,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 63.215,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
2,KBo 63.215,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
3,KBo 63.215,,832,2″,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
4,KBo 63.215,,832,2″,,x-a,x-a,x-a,,,,,,,,,,,,,DEL,{},,,,,,,,,
5,KBo 63.215,,832,2″,,š,"š<del_in/>i<corr c=""?""/><del_fin/>-x",š[i]-x,,,,,"š[i<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
6,KBo 63.215,,832,2″,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
7,KBo 63.215,,832,3″,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
8,KBo 63.215,,832,3″,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 63.215,,832,3″,nu,nu,nu,nu,,,,,,,,,,,,,1,{'mrp1': ' nu @  @ CONNn @  @ '},,,,,,,,,
10,KBo 63.215,,832,3″,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
11,KBo 63.215,,832,4″,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
12,KBo 63.215,,832,4″,,x x,x x,x x,,,,,,,,,,,,,DEL,{},,,,,,,,,
13,KBo 63.215,,832,4″,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
14,KBo 63.215,,832,4″,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
15,KBo 63.215,,832,4″,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
16,KBo 63.215,,832,4″,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
17,KBo 63.215,,832,4″,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
18,KBo 63.215,,832,4″,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
19,KBo 63.215,,832,4″,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
20,KBo 63.215,,832,4″,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
21,KBo 63.215,,832,4″,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
22,KBo 63.215,,832,4″,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
23,KBo 63.215,,832,4″,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 68.214,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 68.214,,832,1′,,x-,"x-<laes_in/>zi<corr c=""?""/><laes_fin/>",x-⸢zi⸣,,,,,"⸢zi<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
2,KBo 68.214,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
3,KBo 68.214,,832,2′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
4,KBo 68.214,,832,2′,,x-an,x-an,x-an,,,,,,,,,,,,,DEL,{},,,,,,,,,
5,KBo 68.214,,832,2′,ḫarzi,ḫar-z,ḫar-z<del_in/>i,ḫar-z[i,,,,,,,,,,,,,1,{'mrp1': ' ḫar(k)- @ haben @ 3SG.PRS @ I.1.11 @ '},,,,,,,,,
6,KBo 68.214,,832,3′,~ru,-r,"-r<del_fin/>u<corr c=""?""/>",-r]u,,,,,"r]u<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
7,KBo 68.214,,832,3′,šakutai,ša-ku-,ša-ku-<laes_in/>ta<laes_fin/>-a-<laes_in/>e<laes_fin/>,ša-ku-⸢ta⸣-a-⸢e⸣,,,,,,,,,,,,,  ,{'mrp1': ' šakuta=i- @ Schenkel @    { a → NOM.SG.N}   { b → ACC.SG.N}   { c → NOM.PL.N}   { d → ACC.PL.N}   { e → D/L.SG}   { f → STF} @ 2.1.2.1 @ '},,,,,,,,,
8,KBo 68.214,,832,3′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
9,KBo 68.214,,832,4′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
10,KBo 68.214,,832,4′,,x-ta,x-ta,x-ta,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 68.214,,832,4′,,n,n<del_in/>a<del_fin/>-an,n[a]-an,,,,,,,,,,,,,1,{'mrp1': ' n=an @  @ CONNn=PPRO.3SG.C.ACC @  @ '},,,,,,,,,
12,KBo 68.214,,832,4′,SIPA,,"<sGr>SI<del_in/>PA</sGr><corr c=""?""/>",SI[PA,,,,,"SI[PA<corr c=""?""/>",,,,,,,,  ,{'mrp1': ' SIPA @ Hirte @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 29.1.1 @ (LÚ)'},,,,,,,,,
13,KBo 68.214,,832,5′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
14,KBo 68.214,,832,5′,,x-ú-iz-zi,x-ú-iz-zi,x-ú-iz-zi,,,,,,,,,,,,,DEL,{},,,,,,,,,
15,KBo 68.214,,832,5′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
16,KBo 68.214,,832,5′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
17,KBo 68.214,,832,6′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
18,KBo 68.214,,832,6′,,x-ni-ia,x-ni-ia,x-ni-ia,,,,,,,,,,,,,DEL,{},,,,,,,,,
19,KBo 68.214,,832,6′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
20,KBo 68.214,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
21,KBo 68.214,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
22,KBo 68.214,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
23,KBo 68.214,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
24,KBo 68.214,,832,6′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
25,KBo 68.214,,832,6′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
26,KBo 68.214,,832,6′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
27,KBo 68.214,,832,6′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
28,KBo 68.214,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 66.94,,832,1′,,,"<space c=""28""/>",****************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.94,,832,1′,kuitman,ku-i,"ku-i<del_fin/>t<corr c=""?""/>-ma<corr c=""?""/>-an<del_in/>",ku-i]t-ma-an[,,,,,"i]t<corr c=""?""/>, ma<corr c=""?""/>",,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' kuitman @ während @  @ CNJ @ ', 'mrp2': ' kuitman @ eine Zeitlang @  @ INDadv @ '}",,,,,,,,,
2,KBo 66.94,,832,1′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.94,,832,2′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.94,,832,2′,,,<del_fin/>x-ra-a,]x-ra-a,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
5,KBo 66.94,,832,2′,EGIRpa,,<sGr>EGIR</sGr>-p<del_in/>a,EGIR-p[a,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' EGIR-pa @ wieder @     {a → ADV}    {b → POSP}    {c → PREV} @  @ '}",,,,,,,,,
6,KBo 66.94,,832,3′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.94,,832,3′,,,<del_fin/>x-zi,]x-zi,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
8,KBo 66.94,,832,5′,,,"<space c=""25""/>",*************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.94,,832,5′,,,<del_fin/>,],,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.94,,832,5′,LUGALutti,,<sGr>LUGAL</sGr>-ut-t<del_in/>i,LUGAL-ut-t[i,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
11,KBo 66.94,,832,6′,,,"<space c=""30""/>",******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.94,,832,6′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.94,,832,6′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.94,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.94,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.94,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.94,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.94,,832,6′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.94,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 63.358,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 63.358,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
2,KBo 63.358,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
3,KBo 63.358,,832,2′,~rinu-%,-r,-r<del_fin/>i-nu-x,-r]i-nu-x,,,,,,,,,,,,,DEL,{},,,,,,,,,
4,KBo 63.358,,832,2′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
5,KBo 63.358,,832,3′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
6,KBo 63.358,,832,3′,,x-u,"x-u<corr c=""?""/>",x-u,,,,,"u<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
7,KBo 63.358,,832,3′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 63.358,,832,3′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
9,KBo 63.358,,832,4′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
10,KBo 63.358,,832,4′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 63.358,,832,4′,A-NA,,<aGr>A-NA</aGr>,#A-NA#,,,,,,,,,,,,,  ,{'mrp1': ' ANA @ zu @    { a → …:D/L.SG}   { b → …:D/L.PL}   { c → …:ALL} @  @ '},,,,,,,,,
12,KBo 63.358,,832,4′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
13,KBo 63.358,,832,5′,~a,,<del_fin/>-<laes_in/>a<laes_fin/>,]-⸢a⸣,,,,,,,,,,,,,DEL,{},,,,,,,,,
14,KBo 63.358,,832,5′,A-NA,,<aGr>A-N<del_in/>A</aGr>,#A-N[A#,,,,,,,,,,,,,  ,{'mrp1': ' ANA @ zu @    { a → …:D/L.SG}   { b → …:D/L.PL}   { c → …:ALL} @  @ '},,,,,,,,,
15,KBo 63.358,,832,6′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
16,KBo 63.358,,832,6′,,x x,x x,x x,,,,,,,,,,,,,DEL,{},,,,,,,,,
17,KBo 63.358,,832,6′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
18,KBo 63.358,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
19,KBo 63.358,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
20,KBo 63.358,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
21,KBo 63.358,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
22,KBo 63.358,,832,6′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
23,KBo 63.358,,832,6′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
24,KBo 63.358,,832,6′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
25,KBo 63.358,,832,6′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
26,KBo 63.358,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 66.26,,832,1′,,,"<space c=""11""/>",***********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.26,,832,1′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.26,,832,2′,,,"<space c=""12""/>",************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.26,,832,2′,,,<del_fin/>x-ma,]x-ma,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.26,,832,2′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
5,KBo 66.26,,832,3′,,,"<space c=""9""/>",*********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.26,,832,3′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.26,,832,3′,I-NA ti,,"<aGr>I-NA</aGr><corr c=""?""/> ti<corr c=""?""/><del_in/>",#I-NA# ti[,,,,,"NA~<corr c=""?""/>, ti<corr c=""?""/>",,,,,,,,  ???,{'lg': 'Hit'},,,,,,,,,
8,KBo 66.26,,832,4′,,,"<space c=""8""/>",********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.26,,832,4′,,,<del_fin/>x-ki-x,]x-ki-x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.26,,832,4′,u,u,u<del_in/>,u[,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' u= @ trinken @ LUW.2SG.IMP @ V.9 @ ', 'mrp2': ' u= @ Utima @    { a → GN.NOM.SG(ABBR)}   { b → GN.ACC.SG(ABBR)}   { c → GN.GEN.SG(ABBR)}   { d → GN.D/L.SG(ABBR)}   { e → GN.ALL(ABBR)}   { f → GN.ABL(ABBR)}   { g → GN.INS(ABBR)}   { h → GN.VOC.SG(ABBR)} @ 39.9 @ URU'}",,,,,,,,,
11,KBo 66.26,,832,5′,,,"<space c=""8""/>",********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.26,,832,5′,,i,"i<del_fin/>t-tal<corr c=""?""/>-na-x<del_in/>",i]t-tal-na-x[,,,,,"tal<corr c=""?""/>",,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.26,,832,6′,,,"<space c=""10""/>",**********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.26,,832,6′,,,<del_fin/>x(-)ša-x<del_in/>,]x(-)ša-x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.26,,832,7′,,,"<space c=""11""/>",***********,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.26,,832,7′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.26,,832,7′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.26,,832,8′,,,"<space c=""15""/>",***************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.26,,832,8′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
20,KBo 66.26,,832,8′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
21,KBo 66.26,,832,8′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
22,KBo 66.26,,832,8′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
23,KBo 66.26,,832,8′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
24,KBo 66.26,,832,8′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
25,KBo 66.26,,832,8′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 62.60,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
1,KBo 62.60,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
2,KBo 62.60,,832,2′,mân,ma-a-,"ma-a-<del_in/>an<corr c=""?""/>",ma-a-[an,,,,,"[an<corr c=""?""/>",,,,,,,,  ,"{'mrp1': ' mân @ wenn @  @ CNJ @ ', 'mrp2': ' mân @ wie @  @ CNJ @ ', 'mrp3': ' mân @ wie @  @ POSP @ '}",,,,,,,,,
3,KBo 62.60,,832,3′,ku~,k,k<del_in/>u-,k[u-,,,,,,,,,,,,,DEL,{},,,,,,,,,
4,KBo 62.60,,832,3′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
5,KBo 62.60,,832,3′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
6,KBo 62.60,,832,3′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
7,KBo 62.60,,832,3′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 62.60,,832,3′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 62.60,,832,3′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
10,KBo 62.60,,832,3′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
11,KBo 62.60,,832,3′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
12,KBo 62.60,,832,3′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
